,Company Name,Product Name,Quantity,Price
344,Heritage,Butter - Salted,250 gm,325.00
345,RRO Dairy,"Cheese - Smoked, Herbs & Spices",200 gm,255.00
346,Soyfit,Tofu Supreme - Chilli,200 gm,120.00
347,mother dairy,Milk Shake - Strawberry,200 ml,25.00
348,Fresho Signature,"Cheese - Fontal, Diced",100 gm,215.25
349,Britannia,Cheese Spreadz - Mexican Mirchi,180 gm,85.00
350,Dairy Craft,Processed Cheese - Herbs N Spices,200 gm,190.00
351,Dodoni,Feta Greek,200 gm,635.00
352,Milky Mist,Premium Cheese Spread - Pepper,200 gm,86.40
353,Britannia,Winkin Cow Choco Milkshake,200 ml,40.00
354,On1y,Grinder - Fruit Seasoning,60 gm,105.01
355,Kodai Dairy Farms,Cheese - Diet Cheddar,200 gm,220.00
356,Kodai Dairy Farms,Cheese Cheddar  - Red Chilly,200 gm,220.00
357,MOOZ,Sour Cream - Peri Peri,150 gm,220.00
358,Kodai Dairy Farms,Cheese - Extra Sharp Cheddar,200 gm,235.00
359,Amul,Kool - Strawberry,200 ml,30.00
360,Kodai Dairy Farms,Cheese - Emmenthaler,200 gm,240.00
361,Fresho Signature,"Cheese - Red Leicester, Block",200 gm,414.00
362,Amul,Pro,200 ml,70.00
363,Mori Naga,Silken Tofu - Lite Firm,349 gm,246.50
364,Kodai Dairy Farms,Cheese - Gruyere,200 gm,240.00
365,Britannia,Winkin Cow Badam Milkshake,200 ml,40.00
366,Dairy Craft,Processed Cheese - Black Pepper,200 gm,190.00
367,Lactima,Processed Cheese - Creamy,120 gm,195.00
368,Gowardhan,Topp Up Milk - Elaichi,200 ml,22.50
369,A Lemnos,Fetta - Cheese Reduced Fat,180 gm,585.00
370,Kodai Dairy Farms,Cheese - Colby Cheddar,200 gm,220.00
371,Kodai Dairy Farms,Mozzarella - Smoked,200 gm,220.00
372,RRO Dairy,"Cheese - Smoked, Black Pepper",200 gm,255.00
373,RRO Dairy,"Cheese - Scamorza, Smoked",150 gm,242.25
374,Nandini,Milk Powder - Skimmed,1 kg,250.00
375,Milky Mist,Cheese - Block,200 gm,114.00
376,Kodai Dairy Farms,Cheese - Cumin Gouda,200 gm,235.00
377,Kodai Dairy Farms,Cheese - Mustard Gouda,200 gm,235.00
378,Kodai Dairy Farms,Cheese - Pepper Gouda,200 gm,235.00
379,Kodai Dairy Farms,Smoked Cheese - Edam,200 gm,255.00
380,Nandini,Dairy Whitener,500 gm,170.00
381,Maiyas,Badam Burst,200 ml,45.00
382,Gowardhan,Cheese - Processed,1 kg,398.00
383,RRO Dairy,"Cheese - Smoked, Plain",200 gm,255.00
384,Grandma Singletons,Double Gloucester,200 gm,375.00
385,Go ,Natural Cheese Selection - Colby,200 gm,104.30
386,Dairy Craft,Processed Cheese - Garlic,200 gm,190.00
387,Gowardhan,Processed Cheese,200 gm,102.00
388,Nandini GoodLife,Toned Milk,500 ml,460.00
389,Amul,Lactose Free Milk,6x250 ml,150.00
390,Amul Slim,Slim 'n' Trim Skimmed Milk,1 ltr,67.00
391,Epigamia ,Snack Pack - Mango With Chunky Granola,112 gm,216.00
392,Epigamia ,Snack Pack - Strawberry With chunky Granola,112 gm,216.00
393,mother dairy,Dailycious Paneer,200 gm,80.00
394,Nestle a+ Grekyo,Greek Yoghurt - Litchi,100 gm,35.00
395,mother dairy,Paneer - Fresh,2x200 gm,153.60
396,MOOZ,Sour Cream,150 gm,200.00
397,Amul,Processed Cheese - Block,1 kg,385.00
398,La Cremella,Cheese - Mascarpone,200 gm,235.00
399,Dairy Craft,Feta Cheese,200 gm,240.00
400,MOOZ,Cheese - Ricotta,150 gm,200.00
401,Amul,Kool - Badam,200 ml,20.00
402,Staeta,Fortified Soy Milk - Natural,1 ltr,110.00
403,danone,Yoghurt - Vanilla Flavoured,80 gm,60.00
404,Gowardhan,Fresh Paneer - Classic Block,200 gm,75.00
405,Milky Mist,Fruit Yoghurt - Blueberry,100 gm,25.00
406,Dairy Craft,Feta Cheese - In Brine,200 gm,250.00
407,Nestle a+ Grekyo,Greek Yoghurt - Mango,100 gm,35.00
408,Milky Mist,Yoghurt - Strawberry,100 gm,25.00
409,RRO Dairy,Cheese - Feta,200 gm,289.00
410,Milky Mist,Yoghurt - Mango,100 gm,25.00
411,GHO,Curd,1 kg,115.00
412,Amul,Shrikhand - Mango,500 gm,95.00
413,Britannia,Cheese Block - Processed Cheddar,200 gm,130.00
414,GHO,Curd,400 gm,60.00
415,Soyfresh,Soya Milk - Strawberry,250 ml,60.00
416,GHO,Slim Curd,400 gm,65.00
417,Kraft,Cheese Spread - Original Cheddar,240 gm,414.00
418,Sipahh,Straw Multipack,17.5 gm,80.00
419,GHO,Panner,200 gm,80.00
420,Nandini,Milk - Strawberry Flavor,200 ml,20.00
